opcode,elemtype,elemsize,keytype,numiters,ns
HASKEY,Map,127,Integer,100000,3164
HASKEY,Map,255,Integer,100000,5777
HASKEY,Map,383,Integer,100000,17609
HASKEY,Map,511,Integer,100000,27461
HASKEY,Map,639,Integer,100000,33927
HASKEY,Map,767,Integer,100000,40214
HASKEY,Map,895,Integer,100000,46216
HASKEY,Map,1023,Integer,100000,52526
HASKEY,Map,127,ByteString,100000,7118
HASKEY,Map,255,ByteString,100000,10816
HASKEY,Map,383,ByteString,100000,15301
HASKEY,Map,511,ByteString,100000,28623
HASKEY,Map,639,ByteString,100000,35535
HASKEY,Map,767,ByteString,100000,41648
HASKEY,Map,895,ByteString,100000,48173
HASKEY,Map,1023,ByteString,100000,54503